,TRADE_DT,S_INFO_WINDCODE,S_DQ_CLOSE
513,20120217,000300.SH,2537.086
514,20120220,000300.SH,2540.706
515,20120221,000300.SH,2562.453
516,20120222,000300.SH,2597.476
517,20120223,000300.SH,2606.256
518,20120224,000300.SH,2648.017
519,20120227,000300.SH,2656.573
520,20120228,000300.SH,2662.463
521,20120229,000300.SH,2634.143
522,20120301,000300.SH,2633.345
523,20120302,000300.SH,2679.934
524,20120305,000300.SH,2662.698
525,20120306,000300.SH,2621.052
526,20120307,000300.SH,2603.005
527,20120308,000300.SH,2635.791
528,20120309,000300.SH,2664.302
529,20120312,000300.SH,2654.402
530,20120313,000300.SH,2681.073
531,20120314,000300.SH,2605.106
532,20120315,000300.SH,2585.546
533,20120316,000300.SH,2623.52
534,20120319,000300.SH,2630.013
535,20120320,000300.SH,2584.445
536,20120321,000300.SH,2587.793
537,20120322,000300.SH,2583.747
538,20120323,000300.SH,2552.94
539,20120326,000300.SH,2555.442
540,20120327,000300.SH,2547.143
541,20120328,000300.SH,2474.9
542,20120329,000300.SH,2443.122
543,20120330,000300.SH,2454.899
544,20120405,000300.SH,2512.832
545,20120406,000300.SH,2519.83
546,20120409,000300.SH,2495.146
547,20120410,000300.SH,2519.788
548,20120411,000300.SH,2520.036
549,20120412,000300.SH,2570.436
550,20120413,000300.SH,2580.454
551,20120416,000300.SH,2574.044
552,20120417,000300.SH,2541.883
553,20120418,000300.SH,2599.908
554,20120419,000300.SH,2596.056
555,20120420,000300.SH,2626.839
556,20120423,000300.SH,2606.038
557,20120424,000300.SH,2604.866
558,20120425,000300.SH,2625.99
559,20120426,000300.SH,2631.487
560,20120427,000300.SH,2626.157
561,20120502,000300.SH,2683.487
562,20120503,000300.SH,2691.518
563,20120504,000300.SH,2715.879
564,20120507,000300.SH,2717.778
565,20120508,000300.SH,2709.116
566,20120509,000300.SH,2657.514
567,20120510,000300.SH,2657.214
568,20120511,000300.SH,2636.917
569,20120514,000300.SH,2615.534
570,20120515,000300.SH,2617.374
571,20120516,000300.SH,2574.647
572,20120517,000300.SH,2613.942
573,20120518,000300.SH,2573.976
574,20120521,000300.SH,2587.231
575,20120522,000300.SH,2627.525
576,20120523,000300.SH,2616.869
577,20120524,000300.SH,2595.26
578,20120525,000300.SH,2573.103
579,20120528,000300.SH,2614.689
580,20120529,000300.SH,2650.854
581,20120530,000300.SH,2642.258
582,20120531,000300.SH,2632.042
583,20120601,000300.SH,2632.998
584,20120604,000300.SH,2559.026
585,20120605,000300.SH,2558.842
586,20120606,000300.SH,2557.401
587,20120607,000300.SH,2542.184
588,20120608,000300.SH,2524.329
589,20120611,000300.SH,2558.265
590,20120612,000300.SH,2540.178
591,20120613,000300.SH,2580.636
592,20120614,000300.SH,2560.421
593,20120615,000300.SH,2568.054
594,20120618,000300.SH,2581.212
595,20120619,000300.SH,2558.621
596,20120620,000300.SH,2552.611
597,20120621,000300.SH,2512.185
598,20120625,000300.SH,2456.518
599,20120626,000300.SH,2454.915
600,20120627,000300.SH,2447.195
601,20120628,000300.SH,2425.729
602,20120629,000300.SH,2461.612
603,20120702,000300.SH,2465.238
604,20120703,000300.SH,2468.721
605,20120704,000300.SH,2464.919
606,20120705,000300.SH,2430.37
607,20120706,000300.SH,2472.614
608,20120709,000300.SH,2416.036
609,20120710,000300.SH,2406.706
610,20120711,000300.SH,2425.572
611,20120712,000300.SH,2449.181
612,20120713,000300.SH,2450.633
613,20120716,000300.SH,2399.731
614,20120717,000300.SH,2414.201
615,20120718,000300.SH,2414.335
616,20120719,000300.SH,2424.322
617,20120720,000300.SH,2398.455
618,20120723,000300.SH,2365.431
619,20120724,000300.SH,2375.992
620,20120725,000300.SH,2360.083
621,20120726,000300.SH,2347.488
622,20120727,000300.SH,2349.108
623,20120730,000300.SH,2335.793
624,20120731,000300.SH,2332.922
625,20120801,000300.SH,2358.651
626,20120802,000300.SH,2334.882
627,20120803,000300.SH,2353.737
628,20120806,000300.SH,2385.611
629,20120807,000300.SH,2388.873
630,20120808,000300.SH,2389.795
631,20120809,000300.SH,2411.7
632,20120810,000300.SH,2399.751
633,20120813,000300.SH,2351.931
634,20120814,000300.SH,2357.016
635,20120815,000300.SH,2331.615
636,20120816,000300.SH,2319.67
637,20120817,000300.SH,2313.476
638,20120820,000300.SH,2301.788
639,20120821,000300.SH,2313.703
640,20120822,000300.SH,2295.586
641,20120823,000300.SH,2302.199
642,20120824,000300.SH,2275.677
643,20120827,000300.SH,2228.204
644,20120828,000300.SH,2238.411
645,20120829,000300.SH,2214.814
646,20120830,000300.SH,2211.37
647,20120831,000300.SH,2204.868
648,20120903,000300.SH,2228.369
649,20120904,000300.SH,2204.407
650,20120905,000300.SH,2199.875
651,20120906,000300.SH,2217.823
652,20120907,000300.SH,2317.179
653,20120910,000300.SH,2326.666
654,20120911,000300.SH,2311.89
655,20120912,000300.SH,2320.071
656,20120913,000300.SH,2298.461
657,20120914,000300.SH,2315.542
658,20120917,000300.SH,2258.705
659,20120918,000300.SH,2235.239
660,20120919,000300.SH,2246.236
661,20120920,000300.SH,2195.951
662,20120921,000300.SH,2199.063
663,20120924,000300.SH,2215.516
664,20120925,000300.SH,2210.154
665,20120926,000300.SH,2184.891
666,20120927,000300.SH,2251.717
667,20120928,000300.SH,2293.106
668,20121008,000300.SH,2270.054
669,20121009,000300.SH,2320.157
670,20121010,000300.SH,2324.117
671,20121011,000300.SH,2302.533
672,20121012,000300.SH,2304.531
673,20121015,000300.SH,2294.857
674,20121016,000300.SH,2298.162
675,20121017,000300.SH,2300.803
676,20121018,000300.SH,2336.077
677,20121019,000300.SH,2332.47
678,20121022,000300.SH,2341.592
679,20121023,000300.SH,2312.077
680,20121024,000300.SH,2307.779
681,20121025,000300.SH,2291.239
682,20121026,000300.SH,2247.907
683,20121029,000300.SH,2235.854
684,20121030,000300.SH,2239.882
685,20121031,000300.SH,2254.82
686,20121101,000300.SH,2297.884
687,20121102,000300.SH,2306.774
688,20121105,000300.SH,2301.88
689,20121106,000300.SH,2292.206
690,20121107,000300.SH,2287.505
691,20121108,000300.SH,2245.405
692,20121109,000300.SH,2240.924
693,20121112,000300.SH,2251.848
694,20121113,000300.SH,2212.44
695,20121114,000300.SH,2223.11
696,20121115,000300.SH,2193.623
697,20121116,000300.SH,2177.24
698,20121119,000300.SH,2174.985
699,20121120,000300.SH,2164.881
700,20121121,000300.SH,2194.896
701,20121122,000300.SH,2177.546
702,20121123,000300.SH,2192.676
703,20121126,000300.SH,2175.599
704,20121127,000300.SH,2150.638
705,20121128,000300.SH,2129.161
706,20121129,000300.SH,2115.676
707,20121130,000300.SH,2139.661
708,20121203,000300.SH,2108.85
709,20121204,000300.SH,2131.473
710,20121205,000300.SH,2207.878
711,20121206,000300.SH,2203.602
712,20121207,000300.SH,2246.757
713,20121210,000300.SH,2271.046
714,20121211,000300.SH,2258.5
715,20121212,000300.SH,2267.767
716,20121213,000300.SH,2242.635
717,20121214,000300.SH,2355.865
718,20121217,000300.SH,2366.7
719,20121218,000300.SH,2368.12
720,20121219,000300.SH,2371.109
721,20121220,000300.SH,2384.816
722,20121221,000300.SH,2372.002
723,20121224,000300.SH,2381.217
724,20121225,000300.SH,2448.395
725,20121226,000300.SH,2457.619
726,20121227,000300.SH,2444.594
727,20121228,000300.SH,2480.049
728,20121231,000300.SH,2522.952
729,20130104,000300.SH,2524.409
730,20130107,000300.SH,2535.985
731,20130108,000300.SH,2525.33
732,20130109,000300.SH,2526.126
733,20130110,000300.SH,2530.569
